en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Add a per-application routing rule.,Добавить правило маршрутизации для отдельного приложения.,添加按应用程序路由规则。,新增個別應用程式路由規則。,アプリケーションごとのルーティングルールを追加します。,애플리케이션별 라우팅 규칙을 추가합니다.,Ajouter une règle de routage par application.
Add the entered URL to the online configuration source list.,Добавить введённый URL в список источников онлайн-конфигурации.,将输入的 URL 添加到在线配置源列表。,將輸入的 URL 新增至線上設定來源清單。,入力した URL をオンライン設定ソース一覧に追加します。,입력한 URL을 온라인 구성 소스 목록에 추가합니다.,Ajouter l’URL saisie à la liste des sources de configuration en ligne.
Add the manually entered application pattern to the Game Mode list.,Добавить введённое вручную приложение или шаблон в список игрового режима.,将手动输入的应用程序模式添加到游戏模式列表。,將手動輸入的應用程式模式新增至遊戲模式清單。,手動入力したアプリケーションパターンを Game Mode の一覧に追加します。,수동으로 입력한 애플리케이션 패턴을 Game Mode 목록에 추가합니다.,Ajouter le modèle d’application saisi manuellement à la liste du Game Mode.
Add this detected game executable to the automatic Game Mode list.,Добавить исполняемый файл найденной игры в список автоматического игрового режима.,将检测到的游戏可执行文件添加到自动游戏模式列表。,將偵測到的遊戲執行檔新增至自動遊戲模式清單。,検出されたゲーム実行ファイルを自動 Game Mode 一覧に追加します。,감지된 게임 실행 파일을 자동 Game Mode 목록에 추가합니다.,Ajouter cet exécutable de jeu détecté à la liste automatique du Game Mode.
Additional command-line arguments passed directly to the plugin process.,"Дополнительные аргументы командной строки, передаваемые непосредственно процессу плагина.",直接传递给插件进程的额外命令行参数。,直接傳遞給外掛程式處理程序的額外命令列參數。,プラグインプロセスに直接渡す追加のコマンドライン引数です。,플러그인 프로세스에 직접 전달되는 추가 명령줄 인수입니다.,Arguments de ligne de commande supplémentaires transmis directement au processus du plugin.
Allow devices on the local network to connect to the local Shadowsocks proxy port.,Разрешить устройствам в локальной сети подключаться к локальному прокси-порту Shadowsocks.,允许本地网络中的设备连接到本机 Shadowsocks 代理端口。,允許區域網路中的裝置連線至本機 Shadowsocks Proxy 連接埠。,ローカルネットワーク上のデバイスから、この Shadowsocks のローカルプロキシポートへの接続を許可します。,로컬 네트워크의 장치가 로컬 Shadowsocks 프록시 포트에 연결하도록 허용합니다.,Autoriser les appareils du réseau local à se connecter au port proxy local de Shadowsocks.
Append the entered URLs to the GeoSite source list.,Добавить введённые URL в список источников GeoSite.,将输入的 URL 追加到 GeoSite 源列表。,將輸入的 URL 附加至 GeoSite 來源清單。,入力した URL を GeoSite ソース一覧の末尾に追加します。,입력한 URL을 GeoSite 소스 목록에 추가합니다.,Ajouter les URL saisies à la liste des sources GeoSite.
Apply the local proxy port immediately.,Немедленно применить локальный порт прокси.,立即应用本地代理端口。,立即套用本機 Proxy 連接埠。,ローカルプロキシポートをすぐに適用します。,로컬 프록시 포트를 즉시 적용합니다.,Appliquer immédiatement le port proxy local.
Capture the screen and import the first supported Shadowsocks QR code found.,Снять изображение экрана и импортировать первый найденный поддерживаемый QR-код Shadowsocks.,捕获屏幕并导入找到的第一个受支持的 Shadowsocks 二维码。,擷取螢幕並匯入找到的第一個受支援 Shadowsocks QR Code。,画面をキャプチャし、最初に見つかった対応 Shadowsocks QR コードをインポートします。,화면을 캡처하고 발견된 첫 번째 지원 Shadowsocks QR 코드를 가져옵니다.,Capturer l’écran et importer le premier QR code Shadowsocks pris en charge trouvé.
Check GitHub for available updates now.,Проверить GitHub на наличие обновлений сейчас.,立即检查 GitHub 更新。,立即檢查 GitHub 更新。,GitHub で利用可能な更新を今すぐ確認します。,지금 GitHub에서 사용 가능한 업데이트를 확인합니다.,Vérifier maintenant les mises à jour disponibles sur GitHub.
Choose an image file and scan it for a Shadowsocks QR code.,Выбрать файл изображения и проверить его на наличие QR-кода Shadowsocks.,选择图像文件并扫描其中的 Shadowsocks 二维码。,選擇影像檔並掃描其中的 Shadowsocks QR Code。,画像ファイルを選択し、Shadowsocks QR コードをスキャンします。,이미지 파일을 선택하고 Shadowsocks QR 코드를 스캔합니다.,Choisir un fichier image et rechercher un QR code Shadowsocks.
Choose whether Shadowsocks follows the Windows theme or always uses light or dark mode.,"Выбрать, следует ли Shadowsocks системной теме Windows или всегда использует светлую либо тёмную тему.",选择 Shadowsocks 跟随 Windows 主题，或始终使用浅色/深色模式。,選擇 Shadowsocks 跟隨 Windows 主題，或固定使用淺色/深色模式。,Shadowsocks が Windows テーマに従うか、常にライト/ダークモードを使うかを選択します。,"Shadowsocks가 Windows 테마를 따를지, 항상 밝은/어두운 모드를 사용할지 선택합니다.",Choisir si Shadowsocks suit le thème Windows ou utilise toujours le mode clair ou sombre.
"Choose whether matching traffic is proxied, sent directly, or blocked.","Выбрать, направлять ли совпавший трафик через прокси, напрямую или блокировать.",选择匹配的流量是走代理、直连还是阻止。,選擇符合的流量要經由 Proxy、直接連線或封鎖。,一致した通信をプロキシ、直接接続、またはブロックのどれにするか選択します。,"일치하는 트래픽을 프록시, 직접 연결 또는 차단할지 선택합니다.","Choisir si le trafic correspondant passe par le proxy, en direct ou est bloqué."
Clear the current log file and the text shown in this viewer.,Очистить текущий файл журнала и отображаемый в этом окне текст.,清除当前日志文件以及此查看器中显示的文本。,清除目前的記錄檔以及此檢視器中顯示的文字。,現在のログファイルと、このビューアに表示されているテキストを消去します。,현재 로그 파일과 이 뷰어에 표시된 텍스트를 지웁니다.,Effacer le fichier journal actuel et le texte affiché dans cette visionneuse.
"Configure PAC behavior, local PAC security and GeoSite sources.","Настроить PAC, защиту локального PAC и источники GeoSite.",配置 PAC 行为、本地 PAC 安全性和 GeoSite 源。,設定 PAC 行為、本機 PAC 安全性與 GeoSite 來源。,PAC の動作、ローカル PAC のセキュリティ、GeoSite ソースを設定します。,"PAC 동작, 로컬 PAC 보안 및 GeoSite 소스를 구성합니다.","Configurer le comportement PAC, la sécurité du PAC local et les sources GeoSite."
